mode,family,n,reuse,consumer,requested_bytes,peak_above_start,consumer_retained_bytes
contextual,independent,0,1,query,8107,6114,0
contextual,independent,0,1,prepared,8107,6265,151
contextual,independent,0,4,query,13174,6114,0
contextual,independent,0,4,prepared,13174,6718,604
contextual,independent,1,1,query,54321,14410,0
contextual,independent,1,1,prepared,54321,14410,2132
contextual,independent,1,4,query,184191,14410,0
contextual,independent,1,4,prepared,184191,20806,8528
contextual,independent,3,1,query,372351,48287,0
contextual,independent,3,1,prepared,372351,48287,22016
contextual,independent,3,4,query,1435659,48287,0
contextual,independent,3,4,prepared,1435659,114119,88064
contextual,shared,0,1,query,8107,6114,0
contextual,shared,0,1,prepared,8107,6265,151
contextual,shared,0,4,query,13174,6114,0
contextual,shared,0,4,prepared,13174,6718,604
contextual,shared,1,1,query,54321,14410,0
contextual,shared,1,1,prepared,54321,14410,2132
contextual,shared,1,4,query,184191,14410,0
contextual,shared,1,4,prepared,184191,20806,8528
contextual,shared,3,1,query,184483,24039,0
contextual,shared,3,1,prepared,184483,24039,5600
contextual,shared,3,4,query,684187,24039,0
contextual,shared,3,4,prepared,684187,40839,22400
contextual,delayed,0,1,query,8307,6314,0
contextual,delayed,0,1,prepared,8307,6465,151
contextual,delayed,0,4,query,13374,6314,0
contextual,delayed,0,4,prepared,13374,6918,604
contextual,delayed,1,1,query,72581,14610,0
contextual,delayed,1,1,prepared,72581,14610,2132
contextual,delayed,1,4,query,256631,14610,0
contextual,delayed,1,4,prepared,256631,21006,8528
contextual,delayed,3,1,query,529755,48487,0
contextual,delayed,3,1,prepared,529755,48487,22016
contextual,delayed,3,4,query,2064675,48487,0
contextual,delayed,3,4,prepared,2064675,114319,88064
contextual,early,0,1,query,7765,5772,0
contextual,early,0,1,prepared,7765,5923,151
contextual,early,0,4,query,12832,5772,0
contextual,early,0,4,prepared,12832,6376,604
contextual,early,1,1,query,36889,11442,0
contextual,early,1,1,prepared,36889,11442,1018
contextual,early,1,4,query,115737,11442,0
contextual,early,1,4,prepared,115737,14496,4072
contextual,early,3,1,query,109963,19477,0
contextual,early,3,1,prepared,109963,19477,2752
contextual,early,3,4,query,387877,19477,0
contextual,early,3,4,prepared,387877,27733,11008
contextual,late,0,1,query,8208,6215,0
contextual,late,0,1,prepared,8208,6366,151
contextual,late,0,4,query,13275,6215,0
contextual,late,0,4,prepared,13275,6819,604
contextual,late,1,1,query,54031,14520,0
contextual,late,1,1,prepared,54031,14520,1018
contextual,late,1,4,query,182728,14736,0
contextual,late,1,4,prepared,182728,17790,4072
contextual,late,3,1,query,173334,23062,0
contextual,late,3,1,prepared,173334,23062,2752
contextual,late,3,4,query,639288,23278,0
contextual,late,3,4,prepared,639288,31534,11008
contextual,history,0,1,query,8107,6114,0
contextual,history,0,1,prepared,8107,6265,151
contextual,history,0,4,query,13174,6114,0
contextual,history,0,4,prepared,13174,6718,604
contextual,history,1,1,query,150705,30654,0
contextual,history,1,1,prepared,150705,30654,8812
contextual,history,1,4,query,545739,30654,0
contextual,history,1,4,prepared,545739,57090,35248
contextual,history,3,1,query,1651719,150896,0
contextual,history,3,1,prepared,1651719,150896,102496
contextual,history,3,4,query,6481719,150896,0
contextual,history,3,4,prepared,6481719,458168,409984
contextual,deep,0,1,query,8923,6930,0
contextual,deep,0,1,prepared,8923,7081,151
contextual,deep,0,4,query,13990,6930,0
contextual,deep,0,4,prepared,13990,7534,604
contextual,deep,1,1,query,65041,18074,0
contextual,deep,1,1,prepared,65041,18074,3764
contextual,deep,1,4,query,224623,18074,0
contextual,deep,1,4,prepared,224623,29366,15056
contextual,deep,3,1,query,475455,84626,0
contextual,deep,3,1,prepared,475455,84626,41600
contextual,deep,3,4,query,1845627,84626,0
contextual,deep,3,4,prepared,1845627,209426,166400
contextual,stable_history,0,1,query,3611,2264,0
contextual,stable_history,0,1,prepared,3611,2415,151
contextual,stable_history,0,4,query,7478,2264,0
contextual,stable_history,0,4,prepared,7478,2868,604
contextual,stable_history,1,1,query,56118,15571,0
contextual,stable_history,1,1,prepared,56118,17974,3491
contextual,stable_history,1,4,query,153861,15571,0
contextual,stable_history,1,4,prepared,153861,28447,13964
contextual,stable_history,3,1,query,148374,38915,0
contextual,stable_history,3,1,prepared,148374,44270,10211
contextual,stable_history,3,4,query,415389,38915,0
contextual,stable_history,3,4,prepared,415389,74903,40844
contextual,reset_history,0,1,query,3803,2456,0
contextual,reset_history,0,1,prepared,3803,2607,151
contextual,reset_history,0,4,query,7670,2456,0
contextual,reset_history,0,4,prepared,7670,3060,604
contextual,reset_history,1,1,query,255894,18051,0
contextual,reset_history,1,1,prepared,255894,18166,3491
contextual,reset_history,1,4,query,952101,18051,0
contextual,reset_history,1,4,prepared,952101,28639,13964
contextual,reset_history,3,1,query,1895542,43499,0
contextual,reset_history,3,1,prepared,1895542,44462,10211
contextual,reset_history,3,4,query,7403197,43499,0
contextual,reset_history,3,4,prepared,7403197,75095,40844
contextual,dense,0,1,query,3856,2402,0
contextual,dense,0,1,prepared,3856,2553,151
contextual,dense,0,4,query,7882,2402,0
contextual,dense,0,4,prepared,7882,3006,604
contextual,dense,1,1,query,14543,4204,0
contextual,dense,1,1,prepared,14543,4666,653
contextual,dense,1,4,query,36578,4204,0
contextual,dense,1,4,prepared,36578,6625,2612
contextual,dense,3,1,query,95555,17136,0
contextual,dense,3,1,prepared,95555,20518,5305
contextual,dense,3,4,query,266114,17136,0
contextual,dense,3,4,prepared,266114,36433,21220
demand,independent,0,1,query,11147,6289,0
demand,independent,0,1,prepared,11147,6440,151
demand,independent,0,4,query,20774,6289,0
demand,independent,0,4,prepared,20774,6893,604
demand,independent,1,1,query,59510,14439,0
demand,independent,1,1,prepared,59510,14439,2132
demand,independent,1,4,query,206099,14439,0
demand,independent,1,4,prepared,206099,20835,8528
demand,independent,3,1,query,440266,47480,0
demand,independent,3,1,prepared,440266,47480,22016
demand,independent,3,4,query,1711591,47480,0
demand,independent,3,4,prepared,1711591,113528,88064
demand,shared,0,1,query,11147,6289,0
demand,shared,0,1,prepared,11147,6440,151
demand,shared,0,4,query,20774,6289,0
demand,shared,0,4,prepared,20774,6893,604
demand,shared,1,1,query,59510,14439,0
demand,shared,1,1,prepared,59510,14439,2132
demand,shared,1,4,query,206099,14439,0
demand,shared,1,4,prepared,206099,20835,8528
demand,shared,3,1,query,208602,23420,0
demand,shared,3,1,prepared,208602,23420,5600
demand,shared,3,4,query,784935,23420,0
demand,shared,3,4,prepared,784935,40220,22400
demand,delayed,0,1,query,11347,6489,0
demand,delayed,0,1,prepared,11347,6640,151
demand,delayed,0,4,query,20974,6489,0
demand,delayed,0,4,prepared,20974,7093,604
demand,delayed,1,1,query,83930,14639,0
demand,delayed,1,1,prepared,83930,14639,2132
demand,delayed,1,4,query,303179,14639,0
demand,delayed,1,4,prepared,303179,21035,8528
demand,delayed,3,1,query,696150,47680,0
demand,delayed,3,1,prepared,696150,47680,22016
demand,delayed,3,4,query,2734527,47680,0
demand,delayed,3,4,prepared,2734527,113728,88064
demand,early,0,1,query,10805,5947,0
demand,early,0,1,prepared,10805,6098,151
demand,early,0,4,query,20432,5947,0
demand,early,0,4,prepared,20432,6551,604
demand,early,1,1,query,39218,11994,0
demand,early,1,1,prepared,39218,11994,1018
demand,early,1,4,query,131123,11994,0
demand,early,1,4,prepared,131123,15048,4072
demand,early,3,1,query,120750,19261,0
demand,early,3,1,prepared,120750,19261,2752
demand,early,3,4,query,450051,19261,0
demand,early,3,4,prepared,450051,27517,11008
demand,late,0,1,query,11248,6390,0
demand,late,0,1,prepared,11248,6541,151
demand,late,0,4,query,20875,6390,0
demand,late,0,4,prepared,20875,6994,604
demand,late,1,1,query,58060,14513,0
demand,late,1,1,prepared,58060,14513,1018
demand,late,1,4,query,199996,14513,0
demand,late,1,4,prepared,199996,17567,4072
demand,late,3,1,query,195533,22486,0
demand,late,3,1,prepared,195533,22486,2752
demand,late,3,4,query,732356,22486,0
demand,late,3,4,prepared,732356,30742,11008
demand,history,0,1,query,11147,6289,0
demand,history,0,1,prepared,11147,6440,151
demand,history,0,4,query,20774,6289,0
demand,history,0,4,prepared,20774,6893,604
demand,history,1,1,query,309438,28132,0
demand,history,1,1,prepared,309438,28132,8812
demand,history,1,4,query,1181823,28132,0
demand,history,1,4,prepared,1181823,54568,35248
demand,history,3,1,query,3094978,142854,0
demand,history,3,1,prepared,3094978,142854,102496
demand,history,3,4,query,12259027,142854,0
demand,history,3,4,prepared,12259027,450342,409984
demand,deep,0,1,query,11963,7105,0
demand,deep,0,1,prepared,11963,7256,151
demand,deep,0,4,query,21590,7105,0
demand,deep,0,4,prepared,21590,7709,604
demand,deep,1,1,query,70230,18002,0
demand,deep,1,1,prepared,70230,18002,3764
demand,deep,1,4,query,246531,18002,0
demand,deep,1,4,prepared,246531,29294,15056
demand,deep,3,1,query,543370,84410,0
demand,deep,3,1,prepared,543370,84410,41600
demand,deep,3,4,query,2121559,84410,0
demand,deep,3,4,prepared,2121559,209210,166400
demand,stable_history,0,1,query,4107,2407,0
demand,stable_history,0,1,prepared,4107,2558,151
demand,stable_history,0,4,query,8718,2407,0
demand,stable_history,0,4,prepared,8718,3011,604
demand,stable_history,1,1,query,172846,14419,0
demand,stable_history,1,1,prepared,172846,14419,3491
demand,stable_history,1,4,query,653917,14419,0
demand,stable_history,1,4,prepared,653917,24892,13964
demand,stable_history,3,1,query,1179166,35459,0
demand,stable_history,3,1,prepared,1179166,35459,10211
demand,stable_history,3,4,query,4642717,35459,0
demand,stable_history,3,4,prepared,4642717,66092,40844
demand,reset_history,0,1,query,4299,2599,0
demand,reset_history,0,1,prepared,4299,2750,151
demand,reset_history,0,4,query,8910,2599,0
demand,reset_history,0,4,prepared,8910,3203,604
demand,reset_history,1,1,query,174734,14675,0
demand,reset_history,1,1,prepared,174734,14675,3491
demand,reset_history,1,4,query,660605,14675,0
demand,reset_history,1,4,prepared,660605,25148,13964
demand,reset_history,3,1,query,1184126,35715,0
demand,reset_history,3,1,prepared,1184126,35715,10211
demand,reset_history,3,4,query,4661693,35715,0
demand,reset_history,3,4,prepared,4661693,66348,40844
demand,dense,0,1,query,4384,2561,0
demand,dense,0,1,prepared,4384,2712,151
demand,dense,0,4,query,9202,2561,0
demand,dense,0,4,prepared,9202,3165,604
demand,dense,1,1,query,20935,4877,0
demand,dense,1,1,prepared,20935,4877,653
demand,dense,1,4,query,65902,4877,0
demand,dense,1,4,prepared,65902,6836,2612
demand,dense,3,1,query,728659,14976,0
demand,dense,3,1,prepared,728659,14976,5305
demand,dense,3,4,query,2893030,14976,0
demand,dense,3,4,prepared,2893030,30891,21220
resumable,independent,0,1,query,12235,6913,0
resumable,independent,0,1,prepared,12235,7064,151
resumable,independent,0,4,query,23494,6913,0
resumable,independent,0,4,prepared,23494,7517,604
resumable,independent,1,1,query,62494,17856,0
resumable,independent,1,1,prepared,62494,17856,2132
resumable,independent,1,4,query,216115,17856,0
resumable,independent,1,4,prepared,216115,24252,8528
resumable,independent,3,1,query,454298,62639,0
resumable,independent,3,1,prepared,454298,62639,22016
resumable,independent,3,4,query,1765799,62639,0
resumable,independent,3,4,prepared,1765799,128687,88064
resumable,shared,0,1,query,12235,6913,0
resumable,shared,0,1,prepared,12235,7064,151
resumable,shared,0,4,query,23494,6913,0
resumable,shared,0,4,prepared,23494,7517,604
resumable,shared,1,1,query,62494,17856,0
resumable,shared,1,1,prepared,62494,17856,2132
resumable,shared,1,4,query,216115,17856,0
resumable,shared,1,4,prepared,216115,24252,8528
resumable,shared,3,1,query,213914,27410,0
resumable,shared,3,1,prepared,213914,27410,5600
resumable,shared,3,4,query,804263,27410,0
resumable,shared,3,4,prepared,804263,44210,22400
resumable,delayed,0,1,query,12435,7113,0
resumable,delayed,0,1,prepared,12435,7264,151
resumable,delayed,0,4,query,23694,7113,0
resumable,delayed,0,4,prepared,23694,7717,604
resumable,delayed,1,1,query,84738,18056,0
resumable,delayed,1,1,prepared,84738,18056,2132
resumable,delayed,1,4,query,304491,18056,0
resumable,delayed,1,4,prepared,304491,24452,8528
resumable,delayed,3,1,query,670086,62839,0
resumable,delayed,3,1,prepared,670086,62839,22016
resumable,delayed,3,4,query,2628351,62839,0
resumable,delayed,3,4,prepared,2628351,128887,88064
resumable,early,0,1,query,11893,6571,0
resumable,early,0,1,prepared,11893,6722,151
resumable,early,0,4,query,23152,6571,0
resumable,early,0,4,prepared,23152,7175,604
resumable,early,1,1,query,41390,12802,0
resumable,early,1,1,prepared,41390,12802,1018
resumable,early,1,4,query,137891,12802,0
resumable,early,1,4,prepared,137891,15856,4072
resumable,early,3,1,query,121562,20237,0
resumable,early,3,1,prepared,121562,20237,2752
resumable,early,3,4,query,451379,20237,0
resumable,early,3,4,prepared,451379,28493,11008
resumable,late,0,1,query,12336,7014,0
resumable,late,0,1,prepared,12336,7165,151
resumable,late,0,4,query,23595,7014,0
resumable,late,0,4,prepared,23595,7618,604
resumable,late,1,1,query,61204,17930,0
resumable,late,1,1,prepared,61204,17930,1018
resumable,late,1,4,query,210652,17930,0
resumable,late,1,4,prepared,210652,20984,4072
resumable,late,3,1,query,199357,25822,0
